DEELGEMEENTE;STRAAT;NUMMER;TYPE;LIGGING;MI_STYLE;MI_PRINX;latWGS84;loWGS84;Aangemaakt op
Centrum;JAMES WEALESTRAAT;BR037;F;aan de banken bij de petanquebaan;Symbol (35, 0, 12);1523;51.217583371319;3.2229620924063;30/10/2017
brugge-centrum;;BR296;F;hof de jonghe : aan 2 banken aan uitgang naar JM Sabbestraat;;1913;51.2190719560296;3.2275673638057;30/10/2017
Sint-Kruis;POLDERSTRAAT;SK025;F;"op pleintje achter ""De Zorghe""";;311;51.2146696643975;3.25228722423749;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1339;51.1937545780778;3.17941575550604;30/10/2017
Sint-Michiels;KERKEBEEKPAD;SM017;M;aan busparking Boudewijnpark;Symbol (35, 0, 12);1267;51.1834161940869;3.2109202673321;30/10/2017
Sint-Andries;FRANS GEVAERTSTRAAT;SA107;F;op speelplein aan picknicktafels;;169;51.207635371307;3.19927607205209;30/10/2017
Sint-Michiels;7101;SM057;ZD;achterzijde station ter hoogte van inrit ondergrondse parking;;1559;51.1953717443487;3.21764965056091;30/10/2017
Lissewege;STATIONSSTRAAT;LI014;F;aan fietsrekken voorkant station;Symbol (35, 0, 12);1082;51.2944771366968;3.19466694013571;30/10/2017
;;;;;;1634;51.2043420769747;3.21913109376423;30/10/2017
Sint-Jozef;HAVENSTRAAT;SJ014;F;aan bushalte r.o. Sint-Gillis schoenen;;286;51.2242179775686;3.22745642586632;30/10/2017
Centrum;ANNUNTIATENSTRAAT;BR038;F;buurtparking, aan fietsrekken;Symbol (35, 0, 12);1106;51.2154191892355;3.22592983350949;30/10/2017
Sint-Kruis;BISSCHOPSDREEF;SK027;F;thv nr6;;312;51.2154761991952;3.25425145447712;30/10/2017
Zeebrugge;KUSTLAAN;ZB102;F;r.o. Kapitein Fryattstraat (richting Blankenberge);Symbol (35, 0, 12);632;51.3286385956063;3.19639652275727;30/10/2017
Sint-Andries;ZEEWEG;SAXXX;F;B-T-CH stapelplaats groendienst;Symbol (35, 0, 12);1416;51.1706956623496;3.15946930656812;30/10/2017
Assebroek;ASTRIDLAAN;AS036;F;aan bushalte thv oude spoorwegbedding;;25;51.1934449602789;3.26607175603061;30/10/2017
Sint-Jozef;NOORWEEGSE KAAI;SJ020;F;aan bushalte thv ring;;290;51.2220018500723;3.2348848973798;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;254;51.1927088950894;3.17914731528153;30/10/2017
Sint-Pieters;BLANKENBERGSE STEENWEG;SP015;FL;"aan bushalte thv parochiecentrum ""De Toren""";Symbol (35, 0, 12);427;51.2287321879588;3.2059674437666;30/10/2017
Centrum;EZELSTRAAT;BR351;F;Pastoor Vanhaeckeplantsoen aan banken;;1883;51.2139425598351;3.21647633307589;30/10/2017
Christus-Koning;GRAAF VISARTPARK;CK006;L;aan ingang speelplein (kant Keizer Karelstraat);Symbol (35, 0, 12);972;51.2117484943196;3.21168217587317;30/10/2017
Centrum;STEENSTRAAT;BR404;L;thv nr 42;Symbol (35, 0, 12);856;51.2073307974951;3.22285518289437;30/10/2017
Sint-Pieters;TEMPELHOF;SP019;F;aan voetbalveld voorbij brug;Symbol (35, 0, 12);429;51.2272565256471;3.202624886453;30/10/2017
Zeebrugge;VENETIËSTRAAT;ZB109;F;aan basketbalterrein naast spoorweg;Symbol (35, 0, 12);957;51.3262243140729;3.19213491863935;30/10/2017
Sint-Michiels;;SM140;F;onder balkonrotonde, kant Barrierestraat;;1833;51.1954017066168;3.21443445416782;30/10/2017
Lissewege;ZEEZWALUWSTRAAT;LI011;F;aan vijver r.o. nr 34;;1071;51.2942860113794;3.1911308136041;30/10/2017
Brugge;KETSBRUGGESTRAAT;BR485;F;aan groenzone wandelpad ter hoogte van sas;;1750;51.19815469037;3.22249361820706;30/10/2017
Sint-Kruis;BABBAERTSTRAAT;SK086;F;aan basketbalterrein;;355;51.2154451014944;3.27087689274931;30/10/2017
Sint-Michiels;RIJSELSTRAAT;SM133;ZD;langs fietspad tussen KTA en balkonrotonde;;1736;51.1947487064379;3.21444981520379;30/10/2017
Assebroek;GROENEWIJK;AS078;F;op speelplein r.o. nr 54;;64;51.1877786776477;3.27901923979009;30/10/2017
Sint-Michiels;VELDSTRAAT;SM087;F;thv immaculatainstituut;Symbol (35, 0, 12);396;51.188977804427;3.20751641032251;30/10/2017
Centrum;LANGEREI;BR054;L;aan bushalte thv nr 26;Symbol (35, 0, 12);530;51.2155384459625;3.22892159735037;30/10/2017
Sint-Michiels;179;SM060;ZD;achterzijde station aan trap op platform hoofdingang;;1562;51.1965609324493;3.21618376495644;30/10/2017
Sint-Kruis;BISSCHOPSDREEF;SK030;F;thv nr 36;;315;51.2166200086295;3.25906221123909;30/10/2017
Centrum;KONINGIN ASTRIDPARK;BR070;L;aan bank r.o. grashoogten;Symbol (35, 0, 12);544;51.2060969128817;3.23201161626416;30/10/2017
Assebroek;SCHIJFSTRAAT;AS080;F;op speelpleintje achter nr. 106;;66;51.1899578188186;3.23481489487009;30/10/2017
Brugge;STATIONSPLEIN;BR154;L;aan trap naar promenade;;1739;51.1976044901264;3.21910399616464;30/10/2017
Sint-Andries;TORHOUTSE STEENWEG;SA165;F;aan bank op hoek met Jonkheer P. Coppietersdreef;;1743;51.1962187183583;3.19997502864986;30/10/2017
brugge centrum;STATIONSPLEIN;BR289;S;aan bushalte - perron 8 (middenperron);;1896;51.1983722872129;3.21821815001593;30/10/2017
Zeebrugge;VISMIJNSTRAAT;ZB047;ZD;op parking Min. Vl. Gemeenschap aan Westhinder;Symbol (35, 0, 12);603;51.3341970634718;3.2082658585724;30/10/2017
Zeebrugge;PAARDENMARKTSTRAAT;ZB089;ZD;;Symbol (35, 0, 12);624;51.3330243158426;3.19776959914547;30/10/2017
Sint-Andries;KOUDE KEUKEN;SA019;F;aan houten hutje;Symbol (35, 0, 12);1218;51.2056386997836;3.18252572019661;30/10/2017
Brugge;BEGIJNENVEST;BR480;L;park station, aan bank langs wandelpad dat begint aan Oostmeers;;1732;51.1992190265194;3.21828219836817;30/10/2017
Sint-Michiels;KONINGIN ASTRIDLAAN;SM093;F;aan inrit veemarkt;Symbol (35, 0, 12);401;51.1880167894813;3.19516286994086;30/10/2017
Koolkerke;LEENWEG;KO018;F;aan bushalte r.o. nr2;;93;51.2306126353042;3.2411319965233;30/10/2017
Centrum;KONING ALBERTPARK;BR194;L;aan bank op splitsing onderste en bovenste pad;Symbol (35, 0, 12);700;51.2005773665641;3.21895372726455;30/10/2017
Sint-Michiels;JOSU? MAERTENSTRAAT;SM047;F;op speelplein aan zitbank peuterzone;;1849;51.1882497422353;3.21901591369884;30/10/2017
Zeebrugge;VISMIJNSTRAAT;ZB145;ZD;thv nr 17;Symbol (35, 0, 12);594;51.3325324696978;3.20312791612335;30/10/2017
Sint-Jozef;BINNENWEG;SJ023;L;aan skatepark entrepot;Symbol (35, 0, 12);1244;51.2247195596955;3.2258754618231;30/10/2017
Centrum;BARGEWEG;BR160;L;"busparking, thv bootrestaurant ""De Barge""";Symbol (35, 0, 12);684;51.1963755288933;3.22710434460203;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1389;51.1941209126025;3.18012017642793;30/10/2017
Sint-Kruis;ZUIDERVAARTJE;SK112;F;sportpark Rust Roest-aan doorsteek in haag naar Dampoortstraat;Symbol (35, 0, 12);1445;51.2205456153523;3.23577653310585;30/10/2017
Sint-Michiels;;SM009;F;aan ingang VHI;;369;51.1939886927414;3.21663358324316;30/10/2017
Centrum;MAAGDENSTRAAT;BR228;L;thv nr 26;Symbol (35, 0, 12);730;51.2041045986365;3.21416282088512;30/10/2017
Zeebrugge;GRAAF JANSDIJK;ZB044;ZD;tussen Rederskaai en Appelzakstraat;Symbol (35, 0, 12);582;51.3351232481767;3.20463174321117;30/10/2017
Sint-Andries;KOUDE KEUKEN;SA013;F;langs inrijdreef van kasteel;Symbol (35, 0, 12);1228;51.202469334122;3.18092210761376;30/10/2017
Sint-Kruis;ZUIDERAKKER;SK008;F;aan bank op hoek met Vossensteert;Symbol (35, 0, 12);1140;51.2023980678978;3.26146818377147;30/10/2017
Sint-Kruis;KAREL VAN MANDERSTRAAT;SK066;F;op hoek met Edestraat;Symbol (35, 0, 12);1311;51.2198208977756;3.24143158848537;30/10/2017
Sint-Michiels;;SM139;F;onder balkonrotonde, kant Rijselstraat;;1832;51.1954639179406;3.2149569018817;30/10/2017
Centrum;GUIDO GEZELLELAAN;BR198;L;thv Smedenpoort;Symbol (35, 0, 12);702;51.2048719777259;3.21288018980822;30/10/2017
Sint-Pieters;GENTELE;SP039;F;aan banken naast basektbalterrein;Symbol (35, 0, 12);444;51.2289478267975;3.19669851915314;30/10/2017
Centrum;HAUWERSTRAAT;BR222;L;r.o. nr. 3;Symbol (35, 0, 12);725;51.2040235846371;3.21548010082807;30/10/2017
Sint-Kruis;VELTEMWEG;SK005;F;aan banken aan de zijkant van Interbad;;300;51.2072691225554;3.25805407558492;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;263;51.1908543178771;3.18187603887578;30/10/2017
Assebroek;A. J. WITTERYCKSTRAAT;AS004;F;op speelplein (ingang tss nrs 8 & 12);;4;51.1864630033779;3.23714392777556;30/10/2017
Sint-Andries;ABDIJBEKEPARK;SA045;F;aan speelplein;Symbol (35, 0, 12);1210;51.194251497221;3.19995997144074;30/10/2017
Sint-Andries;HEESTERLAAN;SA112;F;aan bank;Symbol (35, 0, 12);1142;51.1929797759876;3.17222803967614;30/10/2017
Centrum;WILLEMIJNENPLANTSOEN;BR458;F;aan 2 banken naast speelterrein;Symbol (35, 0, 12);1471;51.2045642099655;3.23254148894758;30/10/2017
Sint-Andries;WAGGELWATER;SA162;F;Waggelwaterbos : ingang tegenaan brug expressweg;;1730;51.2173036603182;3.19026551814455;30/10/2017
Lissewege;4037;LI020;F;aan bank naast petanqueplein;;1555;51.2935767005515;3.1965055300636;30/10/2017
Centrum;SINT-JAKOBSSTRAAT;BR345;L;thv conservatorium;Symbol (35, 0, 12);832;51.2096044355164;3.22201525960259;30/10/2017
Centrum;COUPURE;BR117;F;thv nr 33;Symbol (35, 0, 12);638;51.2065854365186;3.23485546471766;30/10/2017
brugge centrum;STATIONSPLEIN;BR402;L;tussen winkels en ring;;1902;51.1976948287565;3.21987882978423;30/10/2017
Centrum;SINT-JORISSTRAAT;BR352;L;thv nr 71 (normaalschool);Symbol (35, 0, 12);835;51.2152012305063;3.22113226268484;30/10/2017
Sint-Andries;FAZANTENLAAN;SA139;F;Kouden Keuken, aan KSA-lokalen bij speelplein;;1719;51.2030651789785;3.18176188015208;30/10/2017
Sint-Andries;;SA175;F;Koude Keuken, einde Prangeweidedreef r.o. inrit naar jeugdbewegingen;;1919;51.2043290464583;3.17812941759391;30/10/2017
Centrum;GANZENPLEIN;BR245;L;r.o. nr 55;Symbol (35, 0, 12);747;51.2081682800636;3.23580769338015;30/10/2017
Sint-Jozef;BINNENWEG;SJ018;F;aan ingang entrepotgebouw;Symbol (35, 0, 12);1435;51.2258921032803;3.22561419274129;30/10/2017
Centrum;BEGIJNENVEST;BR130;L;thv Dr. J. Sebrechtsstraat;Symbol (35, 0, 12);648;51.1999132499379;3.22348183117356;30/10/2017
Centrum;DR. SEBRECHTSPARK;BR306;L;midden ligweide aan groep van 2 banken;Symbol (35, 0, 12);1036;51.2091916042349;3.21852561602591;30/10/2017
Sint-Andries;;SA022;F;Koude Keuken, op speelplein aan picknicktafel;Symbol (35, 0, 12);1491;51.2034357332698;3.18199677093535;30/10/2017
Sint-Andries;;SA042;FL;aan petanquepleinen naast sporthal;;131;51.2011982190003;3.1807072826887;30/10/2017
Zeebrugge;OMOOKAAI;ZB078;ZD;aan museumschip op vast land;Symbol (35, 0, 12);621;51.3323505775719;3.1987780449138;30/10/2017
Christus-Koning;GULDEN-VLIESLAAN;CK032;L;r.o. nr22;Symbol (35, 0, 12);890;51.2112139049077;3.21389835004886;30/10/2017
Assebroek;BARON RUZETTELAAN;AS054;F;aan bushalte op middenberm r.o. nr 195;;41;51.1927625757617;3.23231419707284;30/10/2017
Brugge Centrum;STATIONSPLEIN;BR294;S;aan bushalte - perron 7 (middenperron);;1895;51.1983371916592;3.21806394964123;30/10/2017
Dudzele;AMAAT VYNCKESTRAAT;DU019;F;tegenaan Westkapelse Steenweg;Symbol (35, 0, 12);784;51.2750802376008;3.22757412863279;30/10/2017
Sint-Michiels;BINNENHOF;SM029;F;op speelplein (inrit naast nr13);Symbol (35, 0, 12);1426;51.1780634404029;3.21792622565078;30/10/2017
Assebroek;BUITEN GENTPOORTVEST;AS002;F;aan bushalte (kant binnenstad);;2;51.2018967310502;3.2342518248327;30/10/2017
Centrum;ZONNEKEMEERS;BR033;L;achterkant Memlingmuseum, naast uitgang naar Mariastraat;Symbol (35, 0, 12);513;51.2041419632035;3.2237267044973;30/10/2017
Sint-Pieters;STEENKAAI;SP029;A;r.o. Wijnenburgstraat;Symbol (35, 0, 12);440;51.2184021645526;3.20608097430248;30/10/2017
Assebroek;ASTRIDLAAN;AS149;F;aan bushalte t.h.v. nr. 121;;1835;51.197070382845;3.25251870677656;30/10/2017
Centrum;ZWIJNSTRAAT;BR224;L;r.o. Parkhotel;Symbol (35, 0, 12);727;51.2044545264637;3.21593985510142;30/10/2017
Centrum;KONINGIN ASTRIDPARK;BR072;L;voorkant kerk r.o. Stalijzerstraat 7;Symbol (35, 0, 12);546;51.2048227007994;3.23182497534706;30/10/2017
Zeebrugge;MARKTPLEIN;ZB091;F;r.o. nr 15;Symbol (35, 0, 12);627;51.3309097202535;3.21041583858555;30/10/2017
Zeebrugge;TIJDOKSTRAAT;ZB061;ZD;langs kaai (r.o. nr 24);Symbol (35, 0, 12);590;51.3310546374162;3.20226595284669;30/10/2017
Brugge;203;BR380;La;op hoek met J. Van Ooststraat;Symbol (35, 0, 12);847;51.2103176707425;3.22326705787736;30/10/2017
Centrum;;BR308;F;aan bushalte r.o. VTI (Boeveriestraat);Symbol (35, 0, 12);818;51.1996670003289;3.21543465373542;30/10/2017
Centrum;SINT-AMANDSSTRAAT;BR267;L;aan hoek thv nr 15;Symbol (35, 0, 12);767;51.2084544516433;3.22269107054919;30/10/2017
Sint-Michiels;KONINGIN ASTRIDLAAN;SM113;F;aan bushalte r.o. nr 128;Symbol (35, 0, 12);412;51.1885273453404;3.20131485568334;30/10/2017
Brugge;64;BR009;La;aan pomp;Symbol (35, 0, 12);491;51.2092939699848;3.22322208087581;30/10/2017
Christus-Koning;GRAAF VISARTPARK;CK008;L;op hoek Keizer Karelstraat-Karel de Stoutelaan;Symbol (35, 0, 12);971;51.2122439176776;3.21197985518581;30/10/2017
Assebroek;VOORUITGANGSTRAAT;AS155;F;ingang Gemene Weidebeek (naast nr. 75);;1926;51.1967743955935;3.25763146769009;30/10/2017
Centrum;'T ZAND;BR355;B;onder grote luifel bushalte concertgebouw;Symbol (35, 0, 12);649;51.2038175451185;3.2176453313333;30/10/2017
Centrum;ZONNEKEMEERS;BR030;L;achterkant Oud Sint-Jan, naast kruisbeeld;Symbol (35, 0, 12);510;51.2045275203686;3.22285391533984;30/10/2017
Christus-Koning;KEIZER KARELSTRAAT;CK010;F;aan ingang zwembad;Symbol (35, 0, 12);1164;51.2135263050691;3.21216947297974;30/10/2017
Sint-Pieters;JEZUÏETENGOED;SP064;F;aan lummelhoek tss nrs 15-19;Symbol (35, 0, 12);464;51.2350633360291;3.21191778997337;30/10/2017
Sint-Kruis;BOOGSCHUTTERSLAAN;SK075;FL;op hoek met Blauwkasteelweg;;348;51.2160490833396;3.24571863479881;30/10/2017
Sint-Andries;REFUGESTRAAT;SA122;F;aan speelplein;;179;51.2034312231023;3.18844795235945;30/10/2017
Sint-Andries;;SA076;F;Koude Keuken, aan 2 banken naast peuterspeeltuin;;1847;51.2031437117472;3.18242961816879;30/10/2017
Zeebrugge;BARON DE MAERELAAN;ZB002;ZD;r.o. nr12 op parking;Symbol (35, 0, 12);938;51.3291908475511;3.18364018278683;30/10/2017
Sint-Andries;DOORNSTRAAT;SA075;F;aan bushalte op hoek met Nieuwe St-Annadreef;;152;51.1880662604063;3.1749891781423;30/10/2017
Centrum;BUITEN BOEVERIEVEST;BR206;L;aan speeltuigen;Symbol (35, 0, 12);709;51.2020433808979;3.21266063891283;30/10/2017
Sint-Andries;ALBERT SERREYNSTRAAT;SA028;F;aan doorsteek naar Pastoriestraat;;118;51.1980881179038;3.18043421849277;30/10/2017
Centrum;ELISABETH ZORGHESTRAAT;BR165;F;naast ingang parking;Symbol (35, 0, 12);676;51.2141046347095;3.23045300009118;30/10/2017
Sint-Andries;FORT ZEVENBERGEN;SA066;F;op speelplein t.h.v. nr. 5;Symbol (35, 0, 12);1127;51.1918996844855;3.19453226692451;30/10/2017
Brugge;WULPENSTRAAT;BR146;F;aan bushalte t.h.v. nr. 31;;1834;51.2202861597252;3.23084945260362;30/10/2017
Zeebrugge;ADMIRAAL KEYESPLEIN;ZB122;F;midden op plein aan kant huisnummer 33;;1876;51.3323792879891;3.2119575461261;30/10/2017
Centrum;STATIONSPLEIN;BR449;L;in doorgang tussen fietspunt en 2e ingang station;Symbol (35, 0, 12);1272;51.1971134557177;3.21858716964311;30/10/2017
Centrum;DR. SEBRECHTSPARK;BR316;L;aan begin ligweide;Symbol (35, 0, 12);1030;51.2097104707397;3.21801838658413;30/10/2017
Centrum;VLAMINGSTRAAT;BR367;L;op hoek met Grauwwerkersstraat;Symbol (35, 0, 12);841;51.2111667972865;3.2240727635025;30/10/2017
Sint-Andries;ZEEWEG;SAXXX;F;B-T-CH stapelplaats groendienst;Symbol (35, 0, 12);1418;51.1710202786547;3.16038814139782;30/10/2017
Zeebrugge;VISMIJNSTRAAT;ZB143;ZD;thv nr 5;Symbol (35, 0, 12);592;51.3323454321302;3.20249072151707;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;228;51.1932979785997;3.1819522276603;30/10/2017
Sint-Pieters;OOSTENDSE STEENWEG;SP038;FL;in wegel r.o. Ruddershove;Symbol (35, 0, 12);1182;51.2263554695374;3.19833610388691;30/10/2017
Centrum;KAZERNEVEST;BR259;L;r.o. Ganzenstraat;Symbol (35, 0, 12);759;51.2069638536847;3.23879601334667;30/10/2017
Sint-Jozef;GANDHIPLEIN;SJ007;F;aan groep van 3 banken;;279;51.2300536778944;3.23368551215941;30/10/2017
Sint-Kruis;POLDERSTRAAT;SK028;F;op hoek met Bisschopsdreef;;313;51.2147405731533;3.252187738838;30/10/2017
Lissewege;SCHARPHOUTSTRAAT;LI013;F;aan speelplein;Symbol (35, 0, 12);1076;51.2971848382018;3.18774109726884;30/10/2017
Centrum;HENDRIK CONSCIENCELAAN;BR159;L;r.o. nr20;Symbol (35, 0, 12);672;51.2017328178672;3.21444100716139;30/10/2017
Sint-Andries;DOORNSTRAAT;SA118;F;aan banken op speelplein naast nr 60;;175;51.1935464350893;3.18975837004171;30/10/2017
Sint-Pieters;SINT-PIETERSZUIDSTRAAT;SP074;FL;aan glasbol;Symbol (35, 0, 12);474;51.2233142572822;3.21382438772355;30/10/2017
Sint-Pieters;;SP109;F;Park Ter Poele - aan bank;;1687;51.2277197198688;3.21257601790445;30/10/2017
Sint-Andries;SINT-JANSDREEF;SA031;F;aan banken aan speeltuin;;1791;51.2066646188418;3.21009712452829;30/10/2017
Centrum;WIJNZAKSTRAAT;BR334;L;r.o. nr2;Symbol (35, 0, 12);833;51.2107796498589;3.22610065635716;30/10/2017
Zeebrugge;OMOOKAAI;ZB136;ZD;t.h.v. trap naar steiger yachthaven;;1789;51.3325616136657;3.19910312638562;30/10/2017
Centrum;SINT-JAKOBSSTRAAT;BR014;F;tegen muur van de kerk aan bushalte;Symbol (35, 0, 12);494;51.2105581941762;3.22106195944572;30/10/2017
Sint-Andries;KLAUWIJZERSTRAAT;SA044;F;aan speelplein;;133;51.196869085441;3.1709829374451;30/10/2017
Assebroek;DAVERLOSTRAAT;AS129;FL;Daverlopark - onderaan trap naar zithoek op skatepark;;1657;51.1943227519482;3.2483253711952;30/10/2017
Dudzele;SINT-LENARDSSTRAAT;DU001;F;plein op hoek A. Vynckestraat (naast bank);Symbol (35, 0, 12);1049;51.2749013902936;3.22933918100713;30/10/2017
;;;;;;1778;51.3194474966532;3.18605552410122;30/10/2017
Sint-Andries;DOORNSTRAAT;SA002;F;aan bushalte thv nr60;;109;51.1933539833378;3.19009889249399;30/10/2017
Zeebrugge;ZUSTERSSTRAAT;ZB094;F;r.o. nr32;Symbol (35, 0, 12);635;51.3303675594538;3.20806169371838;30/10/2017
Sint-Jozef;BINNENWEG;SJ039;F;aan skatepark aan lange graffitimuur, kant randparkings;Symbol (35, 0, 12);1250;51.2249899869084;3.22615858628917;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1367;51.1937931279656;3.17967666497675;30/10/2017
Koolkerke;KOOLKERKSE STEENWEG;KO020;F;aan bushalte t.h.v. nr. 148;;1877;51.2254445531213;3.23608825992798;30/10/2017
Sint-Kruis;DR. ZAMENHOFLAAN;SK082;F;op hoek met De Paallanden;Symbol (35, 0, 12);1202;51.2156551950217;3.26257986660598;30/10/2017
Assebroek;PASTOOR VERHAEGHEPLEIN;AS033;F;aan bank op middenplein t.h.v. nr. 1;;1761;51.1879105505184;3.27402055501475;30/10/2017
Christus-Koning;3036;KO025;F;aan bank naast petanqueplein;;1550;51.2286862222324;3.24304167856911;30/10/2017
Centrum;LANGESTRAAT;BR047;L;aan Molenbrug, kant Predikherenrei;Symbol (35, 0, 12);523;51.2097082853585;3.23144792543837;30/10/2017
Brugge;224;BR338;La;naast lantaarnpaal thv de Quick;Symbol (35, 0, 12);829;51.2085940440877;3.22406207954724;30/10/2017
Sint-Michiels;PARKLAAN;SM118;F;aan bushalte thv nr10;Symbol (35, 0, 12);414;51.1839484503373;3.2230860923073;30/10/2017
Centrum;GENTPOORTVEST;BR124;L;aan Gentpoort;Symbol (35, 0, 12);645;51.2029566478339;3.23432751433151;30/10/2017
Centrum;WILLEMIJNENPLANTSOEN;BR457;F;aan 3 banken tegen muur;Symbol (35, 0, 12);1472;51.2044950434611;3.23269997289774;30/10/2017
Assebroek;LORREINENDREEF;AS056;F;Op einde dreef - naast wit bord ?domein Ryckevelde? aan parking ingang bos;;1591;51.1979698282671;3.28168207643988;30/10/2017
;;;;;;1775;51.3200573642132;3.1859659278364;30/10/2017
Assebroek;CANADARING;ASXXX;;kinderboerderij;Symbol (35, 0, 12);1297;51.189532859578;3.24504534070669;30/10/2017
Brugge;324;BR180;L;op hoek met Gotje;;1546;51.2152901254224;3.23061548669913;30/10/2017
Lissewege;STORMVOGELSTRAAT;LI009;F;aan bushalte;Symbol (35, 0, 12);1083;51.2913324153527;3.18781925548859;30/10/2017
Centrum;STEENSTRAAT;BR277;L;thv waterput op S. Stevinplein;Symbol (35, 0, 12);1013;51.2069043269365;3.22261476205991;30/10/2017
Lissewege;STATIONSSTRAAT;LI001;A;aan overweg;Symbol (35, 0, 12);1079;51.294401204661;3.19425483619068;30/10/2017
Centrum;KOMVEST;BR322;L;"r.o. res. ""De Veste""";Symbol (35, 0, 12);1095;51.2200369932307;3.22231611396328;30/10/2017
Dudzele;WESTKAPELSE STEENWEG;DU007;F;aan bushalte r.o. nr 191;Symbol (35, 0, 12);793;51.2843836540937;3.24056412548655;30/10/2017
Sint-Michiels;RIJSELSTRAAT;SM105;F;thv nr 66;Symbol (35, 0, 12);406;51.1896790481467;3.21178474416447;30/10/2017
Centrum;VRIJDAGMARKT;BR234;L;thv nr 14;Symbol (35, 0, 12);736;51.2054465513339;3.2167768528017;30/10/2017
Sint-Jozef;KROMMESTRAAT;SJ052;F;aan bushalte t.h.v. nr. 18;;1695;51.2241888823841;3.22775335731783;30/10/2017
Centrum;POTTERIEREI;BR152;L;r.o. nr 26;Symbol (35, 0, 12);665;51.2155924741842;3.22947751625177;30/10/2017
Centrum;KANTWERKSTERSPLEIN;BR440;L;naast bank;Symbol (35, 0, 12);1480;51.2121438531525;3.23394917320491;30/10/2017
Assebroek;KERKDREEF;MA009;F-MA;aan bushalte t.h.v. Kerklaan;;1851;51.187097962428;3.27383472553707;30/10/2017
Sint-Kruis;PAALBOS;SK068;F;aan bushalte op hoek met Vossensteert (kant Maalse Steenweg);Symbol (35, 0, 12);1200;51.2045140654985;3.26505758422297;30/10/2017
Dudzele;SINT-LENARDSSTRAAT;DU020;F;plein op hoek met A. Vynckestraat (tegenaan straat);Symbol (35, 0, 12);1050;51.2745201936529;3.22934480852662;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1380;51.1926128752179;3.18089259340674;30/10/2017
Assebroek;DAVERLOSTRAAT;AS076;FL;aan bushalte thv nr 351;;62;51.193943509503;3.25398726510103;30/10/2017
Brugge;135;BR006;La;rechtover nr 10;Symbol (35, 0, 12);488;51.2104529318141;3.22383198120819;30/10/2017
Brugge;KONINGIN ELISABETHLAAN;MA003;MA;op hoek met Elf-Julistraat;;1871;51.2171173545482;3.21910300380591;30/10/2017
Zeebrugge;VEERBOOTSTRAAT;ZB108;F;op einde straat aan pleintje;Symbol (35, 0, 12);958;51.3246223542513;3.18870391233205;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;241;51.1927739552373;3.18169997517303;30/10/2017
Sint-Jozef;RONSAARDBEKESTRAAT;SJ041;FL;naast banken en standbeeld op kerkplein;Symbol (35, 0, 12);1253;51.2254213643554;3.23172156779644;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;273;51.1943006092229;3.17955123298411;30/10/2017
Sint-Kruis;GULDEN KAMER;SK085;F;op hondenweide naast terrein Cerkelladies;;354;51.219995012596;3.24890463613641;30/10/2017
Sint-Michiels;KONING ALBERT I-LAAN;SM143;FL;aan bushalte inrit parking psychiatrische kliniek;;1873;51.1961807305295;3.21413467821058;30/10/2017
Centrum;KUIPERSSTRAAT;BR004;La;t.h.v. Biekorf;Symbol (35, 0, 12);486;51.2098959828175;3.22316117760014;30/10/2017
Assebroek;TRAGELWEG;AS053;F;thv doorgang naar randparking;Symbol (35, 0, 12);1513;51.1801762796852;3.2337691865696;30/10/2017
Assebroek;ASTRIDLAAN;AS147;F;aan bushaltel t.h.v. nr. 225;;1824;51.1947953492466;3.26081082358501;30/10/2017
Centrum;SIMON STEVINPLEIN;BR280;L;r.o. nr 3 (naast lantaarnpaal);Symbol (35, 0, 12);1016;51.2065126835709;3.2229785812775;30/10/2017
Sint-Andries;;SA174;F;Koude Keuken, op parking naast kasteel;;1886;51.2032524939023;3.1808234579293;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;213;51.1940539207567;3.18141106256645;30/10/2017
Centrum;NOORDZANDSTRAAT;BR248;L;thv nr 57;Symbol (35, 0, 12);750;51.2071191559571;3.21989342923732;30/10/2017
Lissewege;ONDER DE TOREN;LI005;F;aan ingang kerk;Symbol (35, 0, 12);1080;51.2940751630291;3.19842908178481;30/10/2017
Sint-Michiels;SPOORWEGSTRAAT;SM076;F;Leiselepark;Symbol (35, 0, 12);1478;51.1832235560227;3.22266503778118;30/10/2017
Centrum;MARKT;BR389;L;aan Blindenmonument voor Halletoren;Symbol (35, 0, 12);899;51.2083765404021;3.22445852870159;30/10/2017
Assebroek;JACOBUS ROELOFSTRAAT;AS055;F;op speelplein aan zandbak;;42;51.1903967465166;3.27375454104866;30/10/2017
Christus-Koning;KAREL DE STOUTELAAN;CK034;F;op hoek met Leopold I-Laan;Symbol (35, 0, 12);891;51.2132526479628;3.20777576127467;30/10/2017
